Action URI,# Causal Links,# Occurrences,# Images,Causal Links,Interesting Image Sets,Notes
/c/en/stretch,14,112,99,/c/en/wrestle-/r/HasPrerequisite-/c/en/stretch-0000(1.0)|/c/en/dance-/r/HasLastSubevent-/c/en/stretch-0000(1.0)|/c/en/dance-/r/HasPrerequisite-/c/en/stretch-0000(1.0)|/c/en/run-/r/HasFirstSubevent-/c/en/stretch-0000(2.0)|/c/en/run-/r/HasPrerequisite-/c/en/stretch-0000(2.0)|/c/en/hike-/r/HasFirstSubevent-/c/en/stretch-0000(2.0)|/c/en/compete-/r/HasPrerequisite-/c/en/stretch-0000(1.0)|,,
/c/en/spit,12,23,17,/c/en/spit-/r/HasLastSubevent-/c/en/swallow-0000(1.0)|/c/en/spit-/r/HasPrerequisite-/c/en/aim-0000(1.0)|/c/en/spit-/r/HasPrerequisite-/c/en/leave-0000(1.0)|/c/en/spit-/r/HasSubevent-/c/en/blow-0000(2.0)|/c/en/spit-/r/HasSubevent-/c/en/hit-0000(1.0)|/c/en/spit-/r/HasSubevent-/c/en/leave-0000(1.0)|,,
/c/en/dive,12,34,33,/c/en/dive-/r/HasFirstSubevent-/c/en/jump-0000(1.0)|/c/en/dive-/r/HasLastSubevent-/c/en/swim-0000(1.0)|/c/en/dive-/r/HasPrerequisite-/c/en/breathe-0000(1.0)|/c/en/dive-/r/HasPrerequisite-/c/en/jump-0000(1.0)|/c/en/dive-/r/HasSubevent-/c/en/jump-0000(1.0)|/c/en/dive-/r/MotivatedByGoal-/c/en/swim-0000(1.0)|,,
/c/en/pray,12,5,5,/c/en/pray-/r/HasFirstSubevent-/c/en/concentrate-0000(1.0)|/c/en/pray-/r/HasFirstSubevent-/c/en/kneel-0000(1.0)|/c/en/pray-/r/HasPrerequisite-/c/en/kneel-0000(2.828)|/c/en/pray-/r/HasSubevent-/c/en/kneel-0000(1.0)|/c/en/pray-/r/HasSubevent-/c/en/wonder-0000(1.0)|/c/en/skateboard-/r/HasFirstSubevent-/c/en/pray-0000(1.0)|,,
/c/en/love,12,12,11,/c/en/love-/r/CausesDesire-/c/en/entertain-0000(1.0)|/c/en/love-/r/CausesDesire-/c/en/get-0000(2.0)|/c/en/love-/r/CausesDesire-/c/en/lie-0000(2.0)|/c/en/love-/r/CausesDesire-/c/en/paint-0000(2.0)|/c/en/love-/r/CausesDesire-/c/en/sing-0000(4.0)|/c/en/marry-/r/MotivatedByGoal-/c/en/love-0000(1.0)|,,
/c/en/fence,12,48,39,/c/en/attack-/r/CausesDesire-/c/en/fence-0000(1.0)|/c/en/fence-/r/HasPrerequisite-/c/en/attack-0000(1.0)|/c/en/fence-/r/HasPrerequisite-/c/en/practice-0000(1.0)|/c/en/fence-/r/HasPrerequisite-/c/en/steal-0000(1.0)|/c/en/fence-/r/HasSubevent-/c/en/jump-0000(1.0)|/c/en/fence-/r/MotivatedByGoal-/c/en/defend-0000(1.0)|,,
/c/en/snore,12,1,1,/c/en/sleep-/r/CausesDesire-/c/en/snore-0000(1.0)|/c/en/sleep-/r/HasSubevent-/c/en/snore-0000(2.0)|/c/en/snore-/r/HasLastSubevent-/c/en/sleep-0000(1.0)|/c/en/snore-/r/HasPrerequisite-/c/en/sleep-0000(4.899)|/c/en/snore-/r/HasSubevent-/c/en/sleep-0000(4.472)|/c/en/snore-/r/MotivatedByGoal-/c/en/air-0000(2.0)|,,
/c/en/cook,12,479,307,/c/en/eat-/r/HasFirstSubevent-/c/en/cook-0000(1.0)|/c/en/eat-/r/HasPrerequisite-/c/en/cook-0000(2.828)|/c/en/cook-/r/HasLastSubevent-/c/en/eat-0000(1.0)|/c/en/cook-/r/HasLastSubevent-/c/en/stir-0000(1.0)|/c/en/cook-/r/HasLastSubevent-/c/en/wash_up-0000(1.0)|/c/en/cook-/r/MotivatedByGoal-/c/en/eat-0000(2.828)|,,
/c/en/read,12,986,592,/c/en/travel-/r/HasSubevent-/c/en/read-0000(1.0)|/c/en/read-/r/HasLastSubevent-/c/en/contemplate-0000(1.0)|/c/en/read-/r/HasSubevent-/c/en/learn-0000(1.0)|/c/en/read-/r/MotivatedByGoal-/c/en/learn-0000(6.633)|/c/en/rest-/r/HasSubevent-/c/en/read-0000(1.0)|/c/en/learn-/r/HasPrerequisite-/c/en/read-0000(2.0)|,,
/c/en/laugh,12,176,152,/c/en/play-/r/HasSubevent-/c/en/laugh-0000(1.0)|/c/en/laugh-/r/HasSubevent-/c/en/smile-0000(1.0)|/c/en/tickle-/r/HasFirstSubevent-/c/en/laugh-0000(1.0)|/c/en/tickle-/r/HasLastSubevent-/c/en/laugh-0000(1.0)|/c/en/tickle-/r/HasSubevent-/c/en/laugh-0000(6.633)|/c/en/tickle-/r/MotivatedByGoal-/c/en/laugh-0000(3.464)|,,
/c/en/wrestle,10,16,8,/c/en/wrestle-/r/HasPrerequisite-/c/en/rehearse-0000(1.0)|/c/en/wrestle-/r/HasPrerequisite-/c/en/stretch-0000(1.0)|/c/en/wrestle-/r/HasSubevent-/c/en/fall-0000(1.0)|/c/en/wrestle-/r/HasSubevent-/c/en/sweat-0000(4.472)|/c/en/wrestle-/r/MotivatedByGoal-/c/en/power-0000(1.0)|,,
/c/en/tickle,10,1,1,/c/en/tickle-/r/HasFirstSubevent-/c/en/laugh-0000(1.0)|/c/en/tickle-/r/HasLastSubevent-/c/en/laugh-0000(1.0)|/c/en/tickle-/r/HasSubevent-/c/en/laugh-0000(6.633)|/c/en/tickle-/r/MotivatedByGoal-/c/en/laugh-0000(3.464)|/c/en/tickle-/r/MotivatedByGoal-/c/en/tease-0000(1.0)|,,
/c/en/skateboard,10,940,761,/c/en/skateboard-/r/HasFirstSubevent-/c/en/pray-0000(1.0)|/c/en/skateboard-/r/HasPrerequisite-/c/en/buy-0000(1.0)|/c/en/skateboard-/r/HasSubevent-/c/en/balance-0000(1.0)|/c/en/skateboard-/r/HasSubevent-/c/en/fall-0000(1.0)|/c/en/skateboard-/r/MotivatedByGoal-/c/en/relax-0000(1.0)|,,
/c/en/hike,10,40,33,/c/en/hike-/r/HasFirstSubevent-/c/en/stretch-0000(2.0)|/c/en/hike-/r/HasSubevent-/c/en/sweat-0000(3.464)|/c/en/hike-/r/HasSubevent-/c/en/walk-0000(1.0)|/c/en/hike-/r/MotivatedByGoal-/c/en/suffer-0000(1.0)|/c/en/hike-/r/MotivatedByGoal-/c/en/walk-0000(1.0)|,,
/c/en/clean,10,143,110,/c/en/clean-/r/HasFirstSubevent-/c/en/dust-0000(1.0)|/c/en/clean-/r/HasLastSubevent-/c/en/relax-0000(1.0)|/c/en/clean-/r/HasPrerequisite-/c/en/organize-0000(1.0)|/c/en/clean-/r/HasPrerequisite-/c/en/pay-0000(1.0)|/c/en/clean-/r/MotivatedByGoal-/c/en/dirty-0000(2.0)|,,
/c/en/judge,10,5,5,/c/en/judge-/r/HasPrerequisite-/c/en/judge-0000(3.464)|/c/en/judge-/r/HasPrerequisite-/c/en/know-0000(2.0)|/c/en/judge-/r/HasPrerequisite-/c/en/observe-0000(1.0)|/c/en/judge-/r/HasPrerequisite-/c/en/watch-0000(1.0)|/c/en/judge-/r/MotivatedByGoal-/c/en/classify-0000(1.0)|,,
/c/en/urinate,10,5,5,/c/en/drink-/r/HasLastSubevent-/c/en/urinate-0000(1.0)|/c/en/urinate-/r/HasFirstSubevent-/c/en/aim-0000(1.0)|/c/en/urinate-/r/HasLastSubevent-/c/en/eat-0000(1.0)|/c/en/urinate-/r/HasLastSubevent-/c/en/flush-0000(1.0)|/c/en/urinate-/r/HasPrerequisite-/c/en/relax-0000(1.0)|,,
/c/en/punch,10,1,1,/c/en/fight-/r/HasSubevent-/c/en/punch-0000(1.0)|/c/en/punch-/r/HasPrerequisite-/c/en/fast-0000(1.0)|/c/en/punch-/r/HasPrerequisite-/c/en/find-0000(1.0)|/c/en/punch-/r/HasPrerequisite-/c/en/hit-0000(1.0)|/c/en/punch-/r/MotivatedByGoal-/c/en/beat_up-0000(2.828)|,,
/c/en/fish,10,113,80,/c/en/fish-/r/HasPrerequisite-/c/en/buy-0000(1.0)|/c/en/fish-/r/HasSubevent-/c/en/catch-0000(2.828)|/c/en/fish-/r/HasSubevent-/c/en/wait-0000(2.828)|/c/en/fish-/r/MotivatedByGoal-/c/en/enjoy-0000(1.0)|/c/en/summer-/r/CausesDesire-/c/en/fish-0000(1.0)|,,
/c/en/ski,10,2107,1298,/c/en/ski-/r/HasSubevent-/c/en/balance-0000(1.0)|/c/en/ski-/r/HasSubevent-/c/en/sweat-0000(1.0)|/c/en/ski-/r/MotivatedByGoal-/c/en/thrill-0000(1.0)|/c/en/snow-/r/CausesDesire-/c/en/ski-0000(1.0)|/c/en/winter-/r/CausesDesire-/c/en/ski-0000(1.0)|,,
/c/en/breathe,10,6,6,/c/en/sing-/r/HasSubevent-/c/en/breathe-0000(1.0)|/c/en/stress-/r/CausesDesire-/c/en/breathe-0000(1.0)|/c/en/run-/r/HasPrerequisite-/c/en/breathe-0000(1.0)|/c/en/breathe-/r/MotivatedByGoal-/c/en/air-0000(1.0)|/c/en/dive-/r/HasPrerequisite-/c/en/breathe-0000(1.0)|,,
/c/en/stop,10,126,86,/c/en/travel-/r/HasLastSubevent-/c/en/stop-0000(1.0)|/c/en/dance-/r/HasLastSubevent-/c/en/stop-0000(1.0)|/c/en/sing-/r/HasLastSubevent-/c/en/stop-0000(1.0)|/c/en/play-/r/HasLastSubevent-/c/en/stop-0000(1.0)|/c/en/run-/r/HasLastSubevent-/c/en/stop-0000(1.0)|,,
/c/en/practice,10,68,56,/c/en/sing-/r/HasPrerequisite-/c/en/practice-0000(1.0)|/c/en/perform-/r/HasPrerequisite-/c/en/practice-0000(3.464)|/c/en/learn-/r/HasLastSubevent-/c/en/practice-0000(1.0)|/c/en/fence-/r/HasPrerequisite-/c/en/practice-0000(1.0)|/c/en/fiddle-/r/HasPrerequisite-/c/en/practice-0000(2.0)|,,
/c/en/concentrate,10,88,82,/c/en/learn-/r/HasPrerequisite-/c/en/concentrate-0000(1.0)|/c/en/work-/r/HasPrerequisite-/c/en/concentrate-0000(1.0)|/c/en/think-/r/HasPrerequisite-/c/en/concentrate-0000(1.0)|/c/en/pray-/r/HasFirstSubevent-/c/en/concentrate-0000(1.0)|/c/en/listen-/r/HasPrerequisite-/c/en/concentrate-0000(2.0)|,,
/c/en/type,8,59,51,/c/en/type-/r/HasSubevent-/c/en/click-0000(1.0)|/c/en/type-/r/HasSubevent-/c/en/think-0000(1.0)|/c/en/type-/r/MotivatedByGoal-/c/en/communicate-0000(1.0)|/c/en/type-/r/MotivatedByGoal-/c/en/write-0000(1.0)|,,
/c/en/shop,8,225,161,/c/en/shop-/r/HasFirstSubevent-/c/en/consume-0000(1.0)|/c/en/shop-/r/HasPrerequisite-/c/en/sleep-0000(1.0)|/c/en/shop-/r/MotivatedByGoal-/c/en/buy-0000(3.464)|/c/en/shop-/r/MotivatedByGoal-/c/en/eat-0000(1.0)|,,
/c/en/fight,8,5,5,/c/en/fight-/r/HasSubevent-/c/en/kick-0000(1.0)|/c/en/fight-/r/HasSubevent-/c/en/punch-0000(1.0)|/c/en/fight-/r/HasSubevent-/c/en/shout-0000(1.0)|/c/en/fight-/r/HasSubevent-/c/en/sweat-0000(1.0)|,,
/c/en/fiddle,8,1,1,/c/en/fiddle-/r/HasPrerequisite-/c/en/practice-0000(2.0)|/c/en/fiddle-/r/HasPrerequisite-/c/en/strum-0000(1.0)|/c/en/fiddle-/r/HasSubevent-/c/en/break-0000(3.464)|/c/en/fiddle-/r/HasSubevent-/c/en/dance-0000(2.0)|,,
/c/en/drive,8,1432,1075,/c/en/drive-/r/HasFirstSubevent-/c/en/walk-0000(1.0)|/c/en/drive-/r/HasPrerequisite-/c/en/steer-0000(1.0)|/c/en/drive-/r/HasSubevent-/c/en/steer-0000(2.0)|/c/en/drive-/r/MotivatedByGoal-/c/en/cruise-0000(1.0)|,,
/c/en/smoke,8,157,125,/c/en/smoke-/r/HasLastSubevent-/c/en/die-0000(2.0)|/c/en/smoke-/r/HasSubevent-/c/en/die-0000(1.0)|/c/en/smoke-/r/MotivatedByGoal-/c/en/die-0000(1.0)|/c/en/sew-/r/HasFirstSubevent-/c/en/smoke-0000(1.0)|,,
/c/en/paint,8,307,240,/c/en/love-/r/CausesDesire-/c/en/paint-0000(2.0)|/c/en/paint-/r/HasFirstSubevent-/c/en/measure-0000(1.0)|/c/en/paint-/r/HasPrerequisite-/c/en/paint-0000(1.0)|/c/en/paint-/r/MotivatedByGoal-/c/en/enjoy-0000(1.0)|,,
/c/en/trip,8,5,4,/c/en/walk-/r/HasSubevent-/c/en/trip-0000(1.0)|/c/en/dance-/r/HasSubevent-/c/en/trip-0000(2.828)|/c/en/fall-/r/HasPrerequisite-/c/en/trip-0000(3.464)|/c/en/trip-/r/HasSubevent-/c/en/fall-0000(2.0)|,,
/c/en/cry,8,4,4,/c/en/people-/r/CausesDesire-/c/en/cry-0000(1.0)|/c/en/lie-/r/HasLastSubevent-/c/en/cry-0000(1.0)|/c/en/cry-/r/HasPrerequisite-/c/en/cry-0000(1.0)|/c/en/manipulate-/r/HasPrerequisite-/c/en/cry-0000(1.0)|,,
/c/en/win,8,13,10,/c/en/compete-/r/HasFirstSubevent-/c/en/win-0000(1.0)|/c/en/compete-/r/HasLastSubevent-/c/en/win-0000(1.0)|/c/en/compete-/r/HasSubevent-/c/en/win-0000(6.633)|/c/en/compete-/r/MotivatedByGoal-/c/en/win-0000(6.633)|,,
/c/en/plan,8,23,17,/c/en/travel-/r/HasFirstSubevent-/c/en/plan-0000(1.0)|/c/en/host-/r/HasPrerequisite-/c/en/plan-0000(2.0)|/c/en/work-/r/HasSubevent-/c/en/plan-0000(1.0)|/c/en/write-/r/HasPrerequisite-/c/en/plan-0000(1.0)|,,
/c/en/pay,8,10,9,/c/en/clean-/r/HasPrerequisite-/c/en/pay-0000(1.0)|/c/en/buy-/r/HasLastSubevent-/c/en/pay-0000(1.0)|/c/en/buy-/r/HasPrerequisite-/c/en/pay-0000(2.828)|/c/en/buy-/r/HasSubevent-/c/en/pay-0000(1.0)|,,
/c/en/know,8,1,1,/c/en/judge-/r/HasPrerequisite-/c/en/know-0000(2.0)|/c/en/learn-/r/HasLastSubevent-/c/en/know-0000(1.0)|/c/en/learn-/r/MotivatedByGoal-/c/en/know-0000(2.828)|/c/en/entertain-/r/HasPrerequisite-/c/en/know-0000(1.0)|,,
/c/en/enjoy,8,824,592,/c/en/fish-/r/MotivatedByGoal-/c/en/enjoy-0000(1.0)|/c/en/sing-/r/MotivatedByGoal-/c/en/enjoy-0000(1.0)|/c/en/paint-/r/MotivatedByGoal-/c/en/enjoy-0000(1.0)|/c/en/sew-/r/MotivatedByGoal-/c/en/enjoy-0000(1.0)|,,
/c/en/winter,6,12,8,/c/en/winter-/r/CausesDesire-/c/en/knit-0000(1.0)|/c/en/winter-/r/CausesDesire-/c/en/skate-0000(1.0)|/c/en/winter-/r/CausesDesire-/c/en/ski-0000(1.0)|,,
/c/en/sew,6,27,20,/c/en/sew-/r/HasFirstSubevent-/c/en/smoke-0000(1.0)|/c/en/sew-/r/HasSubevent-/c/en/mend-0000(1.0)|/c/en/sew-/r/MotivatedByGoal-/c/en/enjoy-0000(1.0)|,,
/c/en/desire,6,22,22,/c/en/desire-/r/Causes-/c/en/sin-0000(1.0)|/c/en/desire-/r/CausesDesire-/c/en/buy-0000(1.0)|/c/en/desire-/r/CausesDesire-/c/en/perform-0000(1.0)|,,
/c/en/copulate,6,4,3,/c/en/copulate-/r/HasFirstSubevent-/c/en/smile-0000(1.0)|/c/en/copulate-/r/HasLastSubevent-/c/en/sleep-0000(1.0)|/c/en/copulate-/r/HasLastSubevent-/c/en/smile-0000(1.0)|,,
/c/en/heat,6,25,24,/c/en/heat-/r/CausesDesire-/c/en/bathe-0000(1.0)|/c/en/heat-/r/CausesDesire-/c/en/swim-0000(2.0)|/c/en/sun-/r/Causes-/c/en/heat-0000(2.0)|,,
/c/en/climb,6,173,144,/c/en/rock-/r/CausesDesire-/c/en/climb-0000(1.0)|/c/en/climb-/r/HasPrerequisite-/c/en/water-0000(1.0)|/c/en/climb-/r/HasSubevent-/c/en/fall-0000(1.0)|,,
/c/en/teach,6,70,54,/c/en/help-/r/HasPrerequisite-/c/en/teach-0000(1.0)|/c/en/teach-/r/HasSubevent-/c/en/communicate-0000(1.0)|/c/en/talk-/r/MotivatedByGoal-/c/en/teach-0000(1.0)|,,
/c/en/look,6,3587,3063,/c/en/contemplate-/r/HasPrerequisite-/c/en/look-0000(1.0)|/c/en/look-/r/MotivatedByGoal-/c/en/see-0000(1.0)|/c/en/see-/r/HasPrerequisite-/c/en/look-0000(1.0)|,,
/c/en/hear,6,1,1,/c/en/listen-/r/HasSubevent-/c/en/hear-0000(1.0)|/c/en/listen-/r/MotivatedByGoal-/c/en/hear-0000(2.0)|/c/en/hear-/r/HasPrerequisite-/c/en/listen-0000(1.0)|,,
/c/en/bathe,6,70,53,/c/en/heat-/r/CausesDesire-/c/en/bathe-0000(1.0)|/c/en/date-/r/CausesDesire-/c/en/bathe-0000(1.0)|/c/en/bathe-/r/MotivatedByGoal-/c/en/dirty-0000(3.464)|,,
/c/en/swim,6,469,330,/c/en/heat-/r/CausesDesire-/c/en/swim-0000(2.0)|/c/en/dive-/r/HasLastSubevent-/c/en/swim-0000(1.0)|/c/en/dive-/r/MotivatedByGoal-/c/en/swim-0000(1.0)|,,
/c/en/rehearse,6,4,1,/c/en/wrestle-/r/HasPrerequisite-/c/en/rehearse-0000(1.0)|/c/en/perform-/r/HasFirstSubevent-/c/en/rehearse-0000(1.0)|/c/en/perform-/r/HasPrerequisite-/c/en/rehearse-0000(3.464)|,,
/c/en/observe,6,44,36,/c/en/judge-/r/HasPrerequisite-/c/en/observe-0000(1.0)|/c/en/learn-/r/HasFirstSubevent-/c/en/observe-0000(1.0)|/c/en/contemplate-/r/HasPrerequisite-/c/en/observe-0000(1.0)|,,
/c/en/leave,6,592,443,/c/en/travel-/r/HasFirstSubevent-/c/en/leave-0000(1.0)|/c/en/spit-/r/HasPrerequisite-/c/en/leave-0000(1.0)|/c/en/spit-/r/HasSubevent-/c/en/leave-0000(1.0)|,,
/c/en/land,6,326,273,/c/en/fall-/r/HasLastSubevent-/c/en/land-0000(1.0)|/c/en/fall-/r/HasSubevent-/c/en/land-0000(1.0)|/c/en/fly-/r/HasLastSubevent-/c/en/land-0000(1.0)|,,
/c/en/kneel,6,366,328,/c/en/pray-/r/HasFirstSubevent-/c/en/kneel-0000(1.0)|/c/en/pray-/r/HasPrerequisite-/c/en/kneel-0000(2.828)|/c/en/pray-/r/HasSubevent-/c/en/kneel-0000(1.0)|,,
/c/en/chew,6,107,89,/c/en/swallow-/r/HasPrerequisite-/c/en/chew-0000(1.0)|/c/en/eat-/r/HasLastSubevent-/c/en/chew-0000(1.0)|/c/en/eat-/r/HasSubevent-/c/en/chew-0000(2.828)|,,
/c/en/bow,6,20,13,/c/en/dance-/r/HasLastSubevent-/c/en/bow-0000(1.0)|/c/en/sing-/r/HasLastSubevent-/c/en/bow-0000(2.828)|/c/en/perform-/r/HasLastSubevent-/c/en/bow-0000(2.828)|,,
/c/en/answer,6,1,1,/c/en/contemplate-/r/MotivatedByGoal-/c/en/answer-0000(1.0)|/c/en/think-/r/MotivatedByGoal-/c/en/answer-0000(1.0)|/c/en/listen-/r/HasLastSubevent-/c/en/answer-0000(1.0)|,,
/c/en/sun,4,60,48,/c/en/sun-/r/Causes-/c/en/heat-0000(2.0)|/c/en/sun-/r/Causes-/c/en/light-0000(2.0)|,,
/c/en/help,4,170,136,/c/en/help-/r/HasPrerequisite-/c/en/offer-0000(2.828)|/c/en/help-/r/HasPrerequisite-/c/en/teach-0000(1.0)|,,
/c/en/book,4,6,6,/c/en/book-/r/CausesDesire-/c/en/learn-0000(1.0)|/c/en/book-/r/CausesDesire-/c/en/sleep-0000(2.0)|,,
/c/en/start,4,8,8,/c/en/start-/r/HasFirstSubevent-/c/en/think-0000(1.0)|/c/en/compete-/r/HasPrerequisite-/c/en/start-0000(1.0)|,,
/c/en/see,4,559,351,/c/en/look-/r/MotivatedByGoal-/c/en/see-0000(1.0)|/c/en/see-/r/HasPrerequisite-/c/en/look-0000(1.0)|,,
/c/en/party,4,5,5,/c/en/party-/r/HasSubevent-/c/en/dance-0000(1.0)|/c/en/socialize-/r/HasPrerequisite-/c/en/party-0000(1.0)|,,
/c/en/attack,4,10,8,/c/en/attack-/r/CausesDesire-/c/en/fence-0000(1.0)|/c/en/fence-/r/HasPrerequisite-/c/en/attack-0000(1.0)|,,
/c/en/move/v/wn/motion,4,1,1,/c/en/move/v/wn/motion-/r/Causes-/c/en/move/v/wn/motion-0000(2.0)|/c/en/take_out/v/wn/social-/r/Causes-/c/en/move/v/wn/motion-0000(2.0)|,,
/c/en/wonder,4,3,3,/c/en/contemplate-/r/MotivatedByGoal-/c/en/wonder-0000(1.0)|/c/en/pray-/r/HasSubevent-/c/en/wonder-0000(1.0)|,,
/c/en/train,4,253,118,/c/en/compete-/r/HasFirstSubevent-/c/en/train-0000(1.0)|/c/en/compete-/r/HasPrerequisite-/c/en/train-0000(5.292)|,,
/c/en/steer,4,163,128,/c/en/drive-/r/HasPrerequisite-/c/en/steer-0000(1.0)|/c/en/drive-/r/HasSubevent-/c/en/steer-0000(2.0)|,,
/c/en/steal,4,14,14,/c/en/get-/r/HasPrerequisite-/c/en/steal-0000(2.0)|/c/en/fence-/r/HasPrerequisite-/c/en/steal-0000(1.0)|,,
/c/en/spin,4,91,73,/c/en/dance-/r/HasSubevent-/c/en/spin-0000(1.0)|/c/en/skate-/r/HasSubevent-/c/en/spin-0000(1.0)|,,
/c/en/prepare,4,26,18,/c/en/perform-/r/HasPrerequisite-/c/en/prepare-0000(1.0)|/c/en/compete-/r/HasFirstSubevent-/c/en/prepare-0000(1.0)|,,
/c/en/please,4,1,1,/c/en/entertain-/r/HasSubevent-/c/en/please-0000(1.0)|/c/en/entertain-/r/MotivatedByGoal-/c/en/please-0000(4.0)|,,
/c/en/pack,4,22,21,/c/en/travel-/r/HasFirstSubevent-/c/en/pack-0000(3.464)|/c/en/travel-/r/HasPrerequisite-/c/en/pack-0000(4.0)|,,
/c/en/lose,4,21,21,/c/en/compete-/r/HasLastSubevent-/c/en/lose-0000(1.0)|/c/en/compete-/r/HasSubevent-/c/en/lose-0000(1.0)|,,
/c/en/hit,4,1618,1035,/c/en/punch-/r/HasPrerequisite-/c/en/hit-0000(1.0)|/c/en/spit-/r/HasSubevent-/c/en/hit-0000(1.0)|,,
/c/en/dirty,4,35,24,/c/en/clean-/r/MotivatedByGoal-/c/en/dirty-0000(2.0)|/c/en/bathe-/r/MotivatedByGoal-/c/en/dirty-0000(3.464)|,,
/c/en/choose,4,17,10,/c/en/buy-/r/HasPrerequisite-/c/en/choose-0000(1.0)|/c/en/buy-/r/HasSubevent-/c/en/choose-0000(1.0)|,,
/c/en/blush,4,71,62,/c/en/lie-/r/HasLastSubevent-/c/en/blush-0000(1.0)|/c/en/lie-/r/HasSubevent-/c/en/blush-0000(1.0)|,,
/c/en/balance,4,172,158,/c/en/ski-/r/HasSubevent-/c/en/balance-0000(1.0)|/c/en/skateboard-/r/HasSubevent-/c/en/balance-0000(1.0)|,,
/c/en/air,4,1,1,/c/en/breathe-/r/MotivatedByGoal-/c/en/air-0000(1.0)|/c/en/snore-/r/MotivatedByGoal-/c/en/air-0000(2.0)|,,
/c/en/aim,4,7,6,/c/en/urinate-/r/HasFirstSubevent-/c/en/aim-0000(1.0)|/c/en/spit-/r/HasPrerequisite-/c/en/aim-0000(1.0)|,,
/c/en/wine,2,21,15,/c/en/wine-/r/CausesDesire-/c/en/talk-0000(1.0)|,,
/c/en/vote,2,2,1,/c/en/vote-/r/HasPrerequisite-/c/en/grow_up-0000(1.0)|,,
/c/en/trip/v/wn/motion,2,5,4,/c/en/trip/v/wn/motion-/r/Causes-/c/en/stumble/v/wn/motion-0000(2.0)|,,
/c/en/take_out/v/wn/social,2,22,18,/c/en/take_out/v/wn/social-/r/Causes-/c/en/move/v/wn/motion-0000(2.0)|,,
/c/en/summer,2,4,3,/c/en/summer-/r/CausesDesire-/c/en/fish-0000(1.0)|,,
/c/en/stress,2,5,5,/c/en/stress-/r/CausesDesire-/c/en/breathe-0000(1.0)|,,
/c/en/snow,2,55,40,/c/en/snow-/r/CausesDesire-/c/en/ski-0000(1.0)|,,
/c/en/sneeze,2,1,1,/c/en/sneeze-/r/HasSubevent-/c/en/spray-0000(1.0)|,,
/c/en/shave,2,28,22,/c/en/shave-/r/Causes-/c/en/bald-0000(1.0)|,,
/c/en/rock,2,97,79,/c/en/rock-/r/CausesDesire-/c/en/climb-0000(1.0)|,,
/c/en/rear/v/wn/social,2,60,54,/c/en/rear/v/wn/social-/r/Causes-/c/en/grow_up/v/wn/social-0000(2.0)|,,
/c/en/propagate/v/wn/plant,2,1,1,/c/en/propagate/v/wn/plant-/r/Causes-/c/en/propagate/v/wn/biology-0000(2.0)|,,
/c/en/people,2,36,33,/c/en/people-/r/CausesDesire-/c/en/cry-0000(1.0)|,,
/c/en/marry,2,173,114,/c/en/marry-/r/MotivatedByGoal-/c/en/love-0000(1.0)|,,
/c/en/manipulate,2,1,1,/c/en/manipulate-/r/HasPrerequisite-/c/en/cry-0000(1.0)|,,
/c/en/lighten/v/wn/emotion,2,3,3,/c/en/lighten/v/wn/emotion-/r/Causes-/c/en/lighten/v/wn/communication-0000(2.0)|,,
/c/en/host,2,3,3,/c/en/host-/r/HasPrerequisite-/c/en/plan-0000(2.0)|,,
/c/en/give_birth,2,1,1,/c/en/give_birth-/r/HasSubevent-/c/en/push-0000(1.0)|,,
/c/en/fly,2,4963,2704,/c/en/fly-/r/HasLastSubevent-/c/en/land-0000(1.0)|,,
/c/en/effect/v/wn/creation,2,1,1,/c/en/effect/v/wn/creation-/r/Causes-/c/en/elapse/v/wn/motion-0000(0.0)|,,
/c/en/disclose/v/wn/communication,2,324,249,/c/en/disclose/v/wn/communication-/r/Causes-/c/en/break/v/wn/communication-0000(2.0)|,,
/c/en/direct/v/wn/communication,2,57,54,/c/en/direct/v/wn/communication-/r/Causes-/c/en/act/v/wn/social-0000(0.0)|,,
/c/en/destroy,2,2,2,/c/en/destroy-/r/HasPrerequisite-/c/en/explode-0000(1.0)|,,
/c/en/date,2,3,2,/c/en/date-/r/CausesDesire-/c/en/bathe-0000(1.0)|,,
/c/en/damage,2,1,1,/c/en/damage-/r/Causes-/c/en/malfunction-0000(2.0)|,,
/c/en/challenge,2,2,2,/c/en/challenge-/r/CausesDesire-/c/en/compete-0000(2.0)|,,
/c/en/begin/v/wn/change,2,8,8,/c/en/begin/v/wn/change-/r/Causes-/c/en/begin/v/wn/stative-0000(2.0)|,,
/c/en/assemble/v/wn/social,2,7,5,/c/en/assemble/v/wn/social-/r/Causes-/c/en/meet/v/wn/social-0000(2.0)|,,
/c/en/affix/v/wn/contact,2,7,4,/c/en/affix/v/wn/contact-/r/Causes-/c/en/adhere/v/wn/contact-0000(2.0)|,,
/c/en/affect/v/wn/emotion,2,1,1,/c/en/affect/v/wn/emotion-/r/Causes-/c/en/feel/v/wn/emotion-0000(2.0)|,,
/c/en/thin/v/wn/change,2,20,18,/c/en/thin/v/wn/change-/r/Causes-/c/en/thin/v/wn/change-0000(2.0)|,,
/c/en/stop/v/wn/motion,2,126,86,/c/en/stop/v/wn/motion-/r/Causes-/c/en/stop/v/wn/motion-0000(2.0)|,,
/c/en/start/v/wn/motion,2,8,8,/c/en/start/v/wn/motion-/r/Causes-/c/en/start/v/wn/motion-0000(2.0)|,,
